,category,word
0,1,safe
1,1,peace
2,1,compassionate
3,1,compassion
4,1,sympathy
5,1,care
6,1,caring
7,1,protect
8,1,protector
9,1,protection
10,1,shield
11,1,shelter
12,1,amity
13,1,secure
14,1,benefit
15,1,defend
16,1,defender
17,1,defence
18,1,guard
19,1,preserve
20,7,preserve
21,9,preserve
22,2,harm
23,2,injure
24,2,injurious
25,2,suffer
26,2,war
27,2,wars
28,2,warlike
29,2,warring
30,2,fight
31,2,battle
32,2,violence
33,2,violent
34,2,hurt
35,2,kill
36,2,kills
37,2,killed
38,2,killing
39,2,endanger
40,2,cruel
41,2,brutal
42,2,abuse
43,2,damage
44,2,ruin
45,2,ruinous
46,10,ruin
47,10,ruinous
48,2,ravage
49,2,detrimental
50,2,detriment
51,2,crush
52,2,attack
53,2,annihilate
54,2,destroy
55,2,stomp
56,2,abandon
57,6,abandon
58,2,spurn
59,2,impair
60,2,exploit
61,10,exploit
62,2,exploits
63,10,exploits
64,2,exploited
65,10,exploited
66,2,exploiting
67,10,exploiting
68,2,wound
69,3,fair
70,3,fairly
71,3,fairness
72,3,fairplay
73,3,equal
74,3,justice
75,3,justness
76,3,justification
77,3,justifies
78,3,justifiable
79,3,reciprocal
80,3,impartiality
81,3,impartial
82,3,rights
83,3,equity
84,3,evenness
85,3,equivalent
86,3,tolerant
87,3,equable
88,3,balance
89,3,homologous
90,3,reasonable
91,3,constant
92,3,honest
93,11,honest
94,4,unfair
95,4,unequal
96,4,bias
97,4,unjust
98,4,injustice
99,4,bigotry
100,4,discrimination
101,4,discriminate
102,4,disproportion
103,4,inequitable
104,4,prejudice
105,4,dishonest
106,4,unscrupulous
107,4,dissociate
108,4,preference
109,4,favoritism
110,4,exclusion
111,4,exclusive
112,4,exclude
113,5,together
114,5,nation
115,5,family
116,5,families
117,5,familial
118,5,group
119,5,loyal
120,7,loyal
121,5,patriot
122,5,communal
123,5,community
124,5,companion
125,5,comrades
126,5,cadre
127,5,collective
128,5,joint
129,5,unison
130,5,unite
131,5,fellow
132,5,guild
133,5,solidarity
134,5,devote
135,5,member
136,5,cohort
137,5,ally
138,5,insider
139,6,foreign
140,6,enemy
141,6,betray
142,8,betray
143,6,treason
144,8,treason
145,6,traitor
146,8,traitor
147,6,treachery
148,6,perfidious
149,8,treachery
150,8,perfidious
151,6,individual
152,6,apostasy
153,8,apostasy
154,10,apostasy
155,6,apostate
156,8,apostate
157,10,apostate
158,6,deserted
159,8,deserted
160,6,desert
161,6,deserters
162,8,desert
163,8,deserters
164,6,deserting
165,8,deserting
166,6,deceive
167,6,deception
168,6,imposter
169,6,miscreant
170,6,spy
171,6,sequester
172,6,renegade
173,7,obedience
174,7,obey
175,7,obedient
176,7,duty
177,7,law
178,7,lawful
179,11,lawful
180,7,legality
181,7,legal
182,11,legality
183,11,legal
184,7,duties
185,7,award
186,7,honor
187,7,respect
188,7,respectful
189,7,respected
190,7,respects
191,7,order
192,7,father
193,7,mother
194,7,mothering
195,7,mothers
196,7,tradition
197,7,hierarchy
198,7,authority
199,7,permit
200,7,permission
201,7,rank
202,7,leader
203,7,lead
204,7,class
205,7,bourgeoisie
206,7,position
207,7,compliance
208,7,command
209,7,supremacy
210,7,control
211,7,submission
212,7,submit
213,7,commit
214,7,allegiance
215,7,serve
216,7,abide
217,7,deference
218,7,defer
219,7,revered
220,7,idol
221,7,fear
222,7,veneration
223,7,comply
224,8,defiance
225,8,rebel
226,8,dissent
227,8,overthrow
228,8,subvert
229,8,seditious
230,8,sedition
231,8,agitated
232,8,illegal
233,8,lawless
234,8,insurgent
235,8,mutinous
236,8,defy
237,8,dissident
238,8,unfaithful
239,8,alienate
240,8,defector
241,8,heretic
242,10,heretic
243,8,nonconformist
244,8,oppose
245,8,protest
246,8,refuse
247,8,denounce
248,8,remonstrate
249,8,riot
250,8,obstruct
251,9,piety
252,11,piety
253,9,pious
254,11,pious
255,9,purity
256,9,pure
257,9,clean
258,9,sacred
259,9,chaste
260,9,chastity
261,9,holy
262,9,holiness
263,9,sanctify
264,9,saint
265,9,wholesome
266,11,wholesome
267,9,celibacy
268,9,abstention
269,9,virgin
270,9,virgins
271,9,virginity
272,9,virginal
273,9,austerity
274,9,integrity
275,11,integrity
276,9,modesty
277,9,abstinence
278,9,abstain
279,9,abstemiousness
280,9,upright
281,11,upright
282,9,limpid
283,9,unadulterated
284,9,maiden
285,9,virtuous
286,9,refined
287,9,decent
288,9,decency
289,11,decent
290,11,decency
291,9,immaculate
292,9,innocent
293,9,pristine
294,9,church
295,10,disgust
296,10,corruption
297,10,depraved
298,10,disease
299,10,unclean
300,10,dirt
301,10,contagion
302,10,indecent
303,11,indecent
304,10,sin
305,10,iniquity
306,10,sinful
307,10,sinner
308,10,sins
309,10,sinned
310,10,sinning
311,10,whore
312,10,impiety
313,10,impious
314,10,profane
315,10,gross
316,10,repulse
317,10,sick
318,10,promiscuous
319,10,adultery
320,10,debauchery
321,10,defile
322,10,tramp
323,10,prostitute
324,10,unchaste
325,10,intemperate
326,10,wanton
327,10,profligate
328,10,filth
329,10,trashy
330,10,lax
331,10,tainted
332,10,stain
333,10,debased
334,10,wickedness
335,10,wicked
336,11,wickedness
337,11,wicked
338,10,blemish
339,10,pervert
340,10,wretched
341,11,wretched
342,11,righteous
343,11,righteousness
344,11,moral
345,11,ethics
346,11,value
347,11,upstanding
348,11,good
349,11,goodness
350,11,principle
351,11,blameless
352,11,exemplary
353,11,lesson
354,11,canon
355,11,doctrine
356,11,noble
357,11,worth
358,11,ideal
359,11,praiseworthy
360,11,commendable
361,11,character
362,11,proper
363,11,laudable
364,11,correct
365,11,wrong
366,11,evil
367,11,immorality
368,11,immoral
369,11,bad
370,11,offend
371,11,offensive
372,11,transgression
373,11,transgress
